study,studyDataType,platformInfo
GSE39445,series_matrix,GPL15331
GSE45642,eset_rds,ready
GSE48113,series_matrix,GPL15331
GSE56931,series_matrix,GPL10379
GSE71620,affy_geo,hugene11sthsentrezgcdf
GSE10045,series_matrix,GPL6333
GSE11923,affy_geo,mouse4302mmentrezgcdf
GSE43071,affy_geo,mogene10stmmentrezgcdf
GSE54650,affy_geo,mogene10stmmentrezgcdf
GSE59396,series_matrix,GPL6885
GSE70384,affy_geo,mogene10stmmentrezgcdf
GSE72095,eset_rds,ready
GSE2441,series_matrix,GPL890
GSE8988,series_matrix,GPL341
GSE8989,series_matrix,GPL341
GSE37332,series_matrix,GPL15450
Akashi,NA,NA
Spoerl,NA,NA
Albrecht,NA,NA
TakumiEMBO,NA,NA
TakumiGenes,NA,NA
Crawford,NA,NA
Maywood,NA,NA
Miyake,NA,NA
Yan,NA,NA
Vosko,NA,NA
Lambert,NA,NA
Caldelas,NA,NA
Mrosovsky,NA,NA
