species,entrez,symbol,human_symbol
human,406,ARNTL,ARNTL
human,4862,NPAS2,NPAS2
human,9575,CLOCK,CLOCK
human,5187,PER1,PER1
human,8864,PER2,PER2
human,8863,PER3,PER3
human,1407,CRY1,CRY1
human,1408,CRY2,CRY2
human,9572,NR1D1,NR1D1
human,9975,NR1D2,NR1D2
human,1628,DBP,DBP
mouse,11865,Arntl,ARNTL
mouse,18143,Npas2,NPAS2
mouse,12753,Clock,CLOCK
mouse,18626,Per1,PER1
mouse,18627,Per2,PER2
mouse,18628,Per3,PER3
mouse,12952,Cry1,CRY1
mouse,12953,Cry2,CRY2
mouse,217166,Nr1d1,NR1D1
mouse,353187,Nr1d2,NR1D2
mouse,13170,Dbp,DBP
rat,29657,Arntl,ARNTL
rat,316351,Npas2,NPAS2
rat,60447,Clock,CLOCK
rat,287422,Per1,PER1
rat,63840,Per2,PER2
rat,78962,Per3,PER3
rat,299691,Cry1,CRY1
rat,170917,Cry2,CRY2
rat,252917,Nr1d1,NR1D1
rat,259241,Nr1d2,NR1D2
rat,24309,Dbp,DBP
Siberian hamster,NA,Arntl,ARNTL
Siberian hamster,NA,Nr1d1,NR1D1
Siberian hamster,NA,Per1,PER1
Siberian hamster,NA,Per2,PER2
Siberian hamster,NA,Dbp,DBP
Syrian hamster,NA,Per1,PER1
Syrian hamster,NA,Per2,PER2
degu,NA,Per1,PER1
degu,NA,Per2,PER2
degu,NA,Per3,PER3
Nile grass rat,NA,Per1,PER1
Nile grass rat,NA,Per2,PER2
Sudanian grass rat,NA,Arntl,ARNTL
Sudanian grass rat,NA,Cry2,CRY2
Sudanian grass rat,NA,Per1,PER1
Sudanian grass rat,NA,Per2,PER2
ground squirrel,NA,Per1,PER1
ground squirrel,NA,Per2,PER2
